age,religion,community,income,gender,segment,scheme,link
56,christian,bc,725000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
42,muslim,mbc,1246000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
58,others,mbc,1545000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
26,hindu,mbc,1978000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
52,muslim,bc,1588000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
27,others,bc,1559000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
32,hindu,mbc,1119000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
26,christian,mbc,1872000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
52,others,mbc,1377000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
45,christian,mbc,1526000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
42,christian,bc,1073000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
37,muslim,bc,1971000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
40,christian,bc,1552000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
56,hindu,mbc,1664000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
56,hindu,bc,712000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
41,muslim,mbc,670000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
41,others,mbc,586000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
59,hindu,mbc,1490000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
43,others,mbc,1103000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
50,hindu,bc,1460000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
25,others,mbc,627000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
57,christian,mbc,548000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
46,christian,mbc,596000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
47,christian,mbc,813000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
28,others,bc,1644000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
36,hindu,bc,1800000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
40,christian,bc,933000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
28,muslim,bc,803000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
46,hindu,bc,1791000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
53,others,bc,1212000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
42,others,mbc,810000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
41,hindu,mbc,1428000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
26,christian,mbc,1212000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
27,hindu,bc,719000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
38,muslim,mbc,1184000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
53,christian,mbc,1606000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
25,hindu,bc,1377000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
29,hindu,mbc,885000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
47,hindu,mbc,1796000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
50,christian,mbc,1885000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
54,hindu,bc,1447000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
56,muslim,bc,1356000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
52,christian,bc,1587000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
49,muslim,mbc,1392000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
43,christian,mbc,1502000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
32,christian,mbc,1191000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
42,hindu,mbc,1528000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
36,hindu,mbc,1206000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
58,others,mbc,1156000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
34,muslim,mbc,953000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
26,others,mbc,1104000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
40,muslim,mbc,1678000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
30,christian,bc,1439000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
48,muslim,bc,1350000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
37,muslim,bc,1054000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
36,muslim,mbc,1837000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
45,hindu,bc,1705000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
49,christian,mbc,847000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
26,others,mbc,1837000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
31,others,mbc,814000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
37,hindu,mbc,1327000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
35,hindu,bc,987000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
35,hindu,bc,1163000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
31,christian,mbc,1431000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
36,others,bc,1071000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
48,muslim,mbc,1995000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
56,hindu,mbc,744000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
48,muslim,mbc,1669000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
44,hindu,bc,1724000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
52,christian,mbc,606000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
51,christian,mbc,1943000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
59,hindu,mbc,1626000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
53,christian,mbc,1410000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
36,christian,mbc,1436000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
56,muslim,mbc,1006000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
56,hindu,mbc,621000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
25,hindu,bc,1947000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
52,others,bc,1768000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
39,muslim,mbc,1060000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
51,others,bc,1923000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
59,christian,mbc,1742000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
26,hindu,bc,845000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
26,muslim,mbc,1409000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
34,others,bc,701000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
26,christian,bc,1026000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
59,muslim,mbc,740000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
52,others,mbc,678000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
33,christian,mbc,1849000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
28,christian,mbc,1231000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
41,muslim,bc,1206000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
48,muslim,mbc,965000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
37,christian,bc,1654000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
27,muslim,bc,1974000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
30,others,mbc,800000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
28,christian,bc,671000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
50,christian,mbc,802000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
39,christian,bc,807000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
52,hindu,bc,1017000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
55,others,bc,1492000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
37,muslim,bc,1791000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
51,christian,mbc,682000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
31,others,mbc,1150000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
45,christian,bc,1794000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
48,hindu,bc,1126000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
32,hindu,bc,1022000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
28,christian,bc,1648000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
44,hindu,mbc,1631000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
48,muslim,bc,1332000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
40,christian,mbc,1035000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
51,christian,bc,1572000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
36,others,bc,536000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
34,hindu,mbc,1716000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
54,muslim,bc,946000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
36,others,mbc,1615000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
59,hindu,mbc,1410000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
37,others,mbc,704000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
29,muslim,bc,750000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
45,muslim,bc,772000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
32,others,bc,526000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
52,christian,mbc,1897000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
38,hindu,bc,1906000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
44,muslim,mbc,1134000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
32,others,mbc,1758000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
55,hindu,mbc,715000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
37,others,mbc,1587000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
44,hindu,mbc,1288000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
29,others,bc,1173000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
56,others,bc,1086000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
31,others,mbc,1694000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
31,hindu,bc,678000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
38,others,mbc,1852000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
36,hindu,bc,1089000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
41,others,bc,1422000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
58,muslim,mbc,1963000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
53,others,bc,725000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
25,muslim,mbc,1309000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
45,hindu,bc,825000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
45,christian,mbc,1914000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
52,muslim,bc,1625000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
38,muslim,mbc,755000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
52,muslim,mbc,613000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
47,muslim,mbc,553000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
39,christian,bc,1093000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
44,christian,bc,1052000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
40,muslim,mbc,1884000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
36,others,bc,1333000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
59,others,mbc,1683000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
35,hindu,mbc,535000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
42,christian,bc,715000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
28,hindu,mbc,1500000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
55,muslim,bc,799000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
51,others,bc,1838000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
50,christian,mbc,1042000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
58,hindu,mbc,591000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
44,christian,bc,1603000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
29,muslim,mbc,1867000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
55,muslim,bc,767000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
49,others,bc,870000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
25,muslim,bc,1543000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
50,christian,bc,1497000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
42,hindu,bc,1789000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
25,hindu,mbc,1519000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
31,others,mbc,838000,others,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27488
48,muslim,bc,1644000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
50,muslim,bc,1726000,male,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
35,hindu,mbc,1868000,female,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
44,muslim,bc,1013000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
56,christian,bc,1677000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27488
41,others,mbc,1323000,others,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/27514
56,hindu,mbc,1437000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
51,muslim,bc,1435000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
33,others,mbc,795000,others,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/3200
36,christian,bc,1930000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/27514
46,christian,mbc,680000,female,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
33,hindu,bc,1412000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27514
41,others,mbc,612000,male,student,Scheme for Meritorious students to pursue Higher Secondary Education in the best schools of TamilNadu,https://www.tn.gov.in/scheme/data_view/27488
50,muslim,bc,1180000,female,student,post-matric scholarship scheme,https://www.tn.gov.in/scheme/data_view/3200
52,muslim,bc,1755000,male,student,"Free education scholarship for Professional Courses (Engineering, Medical, Agriculture, Veterinary and Law)",https://www.tn.gov.in/scheme/data_view/3200
